manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Modal,Argon8,Arpeggiator,Arp Direction,,60,,,,,,,,,
Modal,Argon8,Arpeggiator,Arp Division,,61,,,,,,,,,
Modal,Argon8,Arpeggiator,Arp Gate,,53,,,,,,,,,
Modal,Argon8,Arpeggiator,Arp Octave,,59,,,,,,,,,
Modal,Argon8,Arpeggiator,Arp Status,,58,,,,,,,,,
Modal,Argon8,Effects,Delay Mode,,41,,,,,,,,,
Modal,Argon8,Effects,Distortion,,12,,,,,,,,,
Modal,Argon8,Effects,FX Amount,,73,,,,,,,,,
Modal,Argon8,Envelopes,AEG Attack,,26,,,,,,,,,
Modal,Argon8,Envelopes,AEG Decay,,27,,,,,,,,,
Modal,Argon8,Envelopes,AEG Depth,,51,,,,,,,,,
Modal,Argon8,Envelopes,AEG Release,,29,,,,,,,,,
Modal,Argon8,Envelopes,AEG Sustain,,28,,,,,,,,,
Modal,Argon8,Envelopes,AEG Type,,80,,,,,,,,,
Modal,Argon8,Envelopes,All EG Attack,,84,,,,,,,,,
Modal,Argon8,Envelopes,All EG Decay,,85,,,,,,,,,
Modal,Argon8,Envelopes,All EG Release,,87,,,,,,,,,
Modal,Argon8,Envelopes,All EG Sustain,,86,,,,,,,,,
Modal,Argon8,Envelopes,FEG Amount,,32,,,,,,,,,
Modal,Argon8,Envelopes,FEG Attack,,22,,,,,,,,,
Modal,Argon8,Envelopes,FEG Decay,,23,,,,,,,,,
Modal,Argon8,Envelopes,FEG Release,,25,,,,,,,,,
Modal,Argon8,Envelopes,FEG Sustain,,24,,,,,,,,,
Modal,Argon8,Envelopes,FEG Type,,81,,,,,,,,,
Modal,Argon8,Envelopes,MEG Attack,,43,,,,,,,,,
Modal,Argon8,Envelopes,MEG Decay,,44,,,,,,,,,
Modal,Argon8,Envelopes,MEG Depth,,49,,,,,,,,,
Modal,Argon8,Envelopes,MEG Release,,46,,,,,,,,,
Modal,Argon8,Envelopes,MEG Sustain,,45,,,,,,,,,
Modal,Argon8,Envelopes,MEG Type,,82,,,,,,,,,
Modal,Argon8,Filter,Cutoff,,34,,,,,,,,,
Modal,Argon8,Filter,Filter Type,,42,,,,,,,,,
Modal,Argon8,Filter,Resonance,,35,,,,,,,,,
Modal,Argon8,General,All Notes Off,,123,,,,,,,,,
Modal,Argon8,General,All Sound Off,,120,,,,,,,,,
Modal,Argon8,General,Audio In,,83,,,,,,,,,
Modal,Argon8,General,Bank Change,,0,,,,,,,,,
Modal,Argon8,General,Expression Pedal,,11,,,,,,,,,
Modal,Argon8,General,Glide,,5,,,,,,,,,
Modal,Argon8,General,Main Volume,,7,,,,,,,,,
Modal,Argon8,General,Mod Wheel,,1,,,,,,,,,
Modal,Argon8,General,Omni Off,,124,,,,,,,,,
Modal,Argon8,General,Omni On,,125,,,,,,,,,
Modal,Argon8,General,Patch Gain,,119,,,,,,,,,
Modal,Argon8,General,Reset All Controllers,,121,,,,,,,,,
Modal,Argon8,General,Sustain Pedal,,64,,,,,,,,,
Modal,Argon8,General,Transpose,,75,,,,,,,,,
Modal,Argon8,General,Voice Mode,,9,,,,,,,,,
Modal,Argon8,General,Delay MIDI Sync,,55,,,,,,,,,
Modal,Argon8,Joystick,Joystick X-,,117,,,,,,,,,
Modal,Argon8,Joystick,Joystick X+,,116,,,,,,,,,
Modal,Argon8,Joystick,Joystick Y-,,118,,,,,,,,,
Modal,Argon8,LFO 1,LFO1 Depth,,37,,,,,,,,,
Modal,Argon8,LFO 1,LFO1 MIDI Sync,,52,,,,,,,,,
Modal,Argon8,LFO 1,LFO1 Mode,,56,,,,,,,,,
Modal,Argon8,LFO 1,LFO1 Rate,,36,,,,,,,,,
Modal,Argon8,LFO 1,LFO1 Shape,,39,,,,,,,,,
Modal,Argon8,LFO 2,LFO2 Depth,,48,,,,,,,,,
Modal,Argon8,LFO 2,LFO2 MIDI Sync,,54,,,,,,,,,
Modal,Argon8,LFO 2,LFO2 Mode,,57,,,,,,,,,
Modal,Argon8,LFO 2,LFO2 Rate,,47,,,,,,,,,
Modal,Argon8,LFO 2,LFO2 Shape,,50,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 1 Depth,,88,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 1 Dest,,108,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 1 Source,,100,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 2 Depth,,89,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 2 Dest,,109,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 2 Source,,101,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 3 Depth,,90,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 3 Dest,,110,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 3 Source,,102,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 4 Depth,,91,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 4 Dest,,111,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 4 Source,,103,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 5 Depth,,92,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 5 Dest,,112,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 5 Source,,104,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 6 Depth,,93,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 6 Dest,,113,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 6 Source,,105,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 7 Depth,,94,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 7 Dest,,114,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 7 Source,,106,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 8 Depth,,95,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 8 Dest,,115,,,,,,,,,
Modal,Argon8,Mod slots,ModSlot 8 Source,,107,,,,,,,,,
Modal,Argon8,Oscillators,WavMod 1,,3,,,,,,,,,
Modal,Argon8,Oscillators,Chord Mode,,96,,,,,,,,,
Modal,Argon8,Oscillators,Morph,,33,,,,,,,,,
Modal,Argon8,Oscillators,Octave,,40,,,,,,,,,
Modal,Argon8,Oscillators,Osc Mix,,18,,,,,,,,,
Modal,Argon8,Oscillators,Osc1 Bank,,62,,,,,,,,,
Modal,Argon8,Oscillators,Osc1 Fine,,15,,,,,,,,,
Modal,Argon8,Oscillators,Osc1 Shape,,16,,,,,,,,,
Modal,Argon8,Oscillators,Osc1 Tune,,14,,,,,,,,,
Modal,Argon8,Oscillators,Osc2 Bank,,63,,,,,,,,,
Modal,Argon8,Oscillators,Osc2 Fine,,31,,,,,,,,,
Modal,Argon8,Oscillators,Osc2 Shape,,17,,,,,,,,,
Modal,Argon8,Oscillators,Osc2 Tune,,30,,,,,,,,,
Modal,Argon8,Oscillators,OscMod,,19,,,,,,,,,
Modal,Argon8,Oscillators,OscMod Mode,,21,,,,,,,,,
Modal,Argon8,Oscillators,Spread,,20,,,,,,,,,
Modal,Argon8,Oscillators,WavMod 2,,13,,,,,,,,,
Modal,Argon8,Sequencer,Seq Clear,,69,,,,,,,,,
Modal,Argon8,Sequencer,Seq Hold,,70,,,,,,,,,
Modal,Argon8,Sequencer,Seq Length,,67,,,,,,,,,
Modal,Argon8,Sequencer,Seq Loop,,71,,,,,,,,,
Modal,Argon8,Sequencer,Seq Mute,,68,,,,,,,,,
Modal,Argon8,Sequencer,Seq Quantise,,79,,,,,,,,,
Modal,Argon8,Sequencer,Seq Record,,72,,,,,,,,,
Modal,Argon8,Sequencer,Swing,,78,,,,,,,,,
